$A_1= \{CULagos\},TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,General UT Score,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
,10,30,25,1,1,4,10,30,38,0,1,2,10,30,34,0,1,3,10,30,31,0,0,0,10,30,36,0,1,3,10,30,35,0,1,2,10,30,35,0,1,3,10,30,39,0,1,3,10,30,34,0,1,3,10,30,24,1,1,3,10,30,43,0,1,3,10,30,23,1,1,3,10,30,32,0,1,2,10,30,26,1,1,2,10,30,40,0,1,3,26.67%,93.33%,33.33%,66.67%,"(indifferent,-0.3929)",20.00%,100.00%,"(satisfying,-0.413)",26.67%,93.33%,"(satisfying,0.0154)",2.324,indifferent,0.324,"(indifferent,0.3236)",
,11,45,35,1,1,3,11,45,45,1,1,2,11,45,45,1,1,1,11,45,61,0,0,0,11,45,37,1,0,0,11,45,53,0,1,1,11,45,50,0,0,0,11,45,55,0,1,3,11,45,43,1,1,3,11,45,44,1,1,3,11,45,58,0,1,2,11,45,43,1,1,3,11,45,54,0,0,0,11,45,33,1,1,4,11,45,61,0,0,1,53.33%,66.67%,33.33%,66.67%,"(a little satisfying,0.2857)",60.00%,40.00%,"(a little satisfying,0.2174)",53.33%,66.67%,"(indifferent,0.2769)",1.563,indifferent,-0.437,"(indifferent,-0.4374)",
,12,30,30,1,0,1,12,30,30,1,1,2,12,30,23,1,1,4,12,30,41,0,1,2,12,30,21,1,1,4,12,30,37,0,1,4,12,30,30,1,1,4,12,30,30,1,1,4,12,30,42,0,1,3,12,30,28,1,1,3,12,30,26,1,1,4,12,30,28,1,1,3,12,30,40,0,1,2,12,30,24,1,1,4,12,30,27,1,1,3,73.33%,93.33%,33.33%,100.00%,"(satisfying,-0.0357)",80.00%,100.00%,"(satisfying,-0.2174)",73.33%,93.33%,"(satisfying,0.4)",3.040,satisfying,0.040,"(satisfying,0.0405)",
,13,120,127,0,0,2,13,120,153,0,1,2,13,120,145,0,1,2,13,120,124,0,0,0,13,120,131,0,0,0,13,120,162,0,1,2,13,120,123,0,1,3,13,120,122,0,1,3,13,120,163,0,1,3,13,120,112,1,1,3,13,120,173,0,1,3,13,120,123,0,1,3,13,120,169,0,1,2,13,120,119,1,1,4,13,120,170,0,0,1,13.33%,73.33%,0.00%,66.67%,"(indifferent,-0.3929)",20.00%,60.00%,"(indifferent,-0.3913)",13.33%,73.33%,"(satisfying,-0.1692)",1.975,indifferent,-0.025,"(indifferent,-0.0253)",
,14,45,47,0,1,3,14,45,46,0,1,2,14,45,59,0,1,1,14,45,55,0,0,0,14,45,35,1,1,3,14,45,58,0,1,2,14,45,51,0,1,3,14,45,51,0,1,3,14,45,52,0,1,3,14,45,39,1,1,3,14,45,61,0,1,3,14,45,36,1,1,3,14,45,49,0,1,3,14,45,43,1,1,4,14,45,43,1,1,3,33.33%,93.33%,33.33%,66.67%,"(indifferent,-0.3929)",60.00%,100.00%,"(satisfying,-0.2174)",33.33%,93.33%,"(satisfying,-0.1692)",2.327,indifferent,0.327,"(indifferent,0.3269)",
,15,120,111,1,1,3,15,120,102,1,1,3,15,120,112,1,1,3,15,120,135,0,0,0,15,120,110,1,1,4,15,120,154,0,1,3,15,120,112,1,1,3,15,120,89,1,1,4,15,120,118,1,1,4,15,120,99,1,0,0,15,120,106,1,1,4,15,120,115,1,1,3,15,120,113,1,1,3,15,120,97,1,1,3,15,120,95,1,1,2,86.67%,86.67%,33.33%,66.67%,"(indifferent,-0.0714)",100.00%,80.00%,"(indifferent,0.413)",86.67%,86.67%,"(satisfying,0.4154)",2.520,satisfying,-0.480,"(satisfying,-0.48)",
,16,20,14,1,1,3,16,20,28,0,0,0,16,20,19,1,1,3,16,20,25,0,0,0,16,20,29,0,0,0,16,20,26,0,1,3,16,20,15,1,1,3,16,20,25,0,1,4,16,20,19,1,1,4,16,20,19,1,1,3,16,20,20,1,1,4,16,20,19,1,1,3,16,20,23,0,1,3,16,20,20,1,1,4,16,20,14,1,1,2,60.00%,80.00%,33.33%,66.67%,"(indifferent,-0.0714)",40.00%,60.00%,"(indifferent,-0.4348)",60.00%,80.00%,"(very satisfying,-0.4462)",2.307,indifferent,0.307,"(indifferent,0.3071)",
,17,45,41,1,1,4,17,45,38,1,1,1,17,45,52,0,1,1,17,45,50,0,0,0,17,45,41,1,1,4,17,45,57,0,1,3,17,45,49,0,0,0,17,45,42,1,1,4,17,45,50,0,1,3,17,45,54,0,1,3,17,45,55,0,1,4,17,45,34,1,1,3,17,45,41,1,1,3,17,45,37,1,1,4,17,45,37,1,1,2,53.33%,86.67%,33.33%,66.67%,"(indifferent,-0.0714)",80.00%,100.00%,"(satisfying,-0.4348)",53.33%,86.67%,"(satisfying,-0.1538)",2.395,indifferent,0.395,"(indifferent,0.3948)",
,18,90,77,1,1,4,18,90,112,0,0,0,18,90,116,0,1,1,18,90,123,0,0,0,18,90,96,0,0,0,18,90,93,0,1,1,18,90,85,1,0,0,18,90,119,0,1,3,18,90,90,1,1,3,18,90,94,0,1,3,18,90,93,0,1,2,18,90,90,1,1,3,18,90,80,1,1,3,18,90,74,1,1,4,18,90,87,1,1,2,46.67%,73.33%,33.33%,66.67%,"(a little satisfying,0.2857)",40.00%,60.00%,"(indifferent,-0.4348)",46.67%,73.33%,"(indifferent,0.4308)",1.713,indifferent,-0.287,"(indifferent,-0.2869)",
,19,90,89,1,1,3,19,90,67,1,1,3,19,90,64,1,1,3,19,90,122,0,0,0,19,90,90,1,1,3,19,90,92,0,1,2,19,90,92,0,1,2,19,90,112,0,1,3,19,90,130,0,1,2,19,90,76,1,1,3,19,90,106,0,1,2,19,90,66,1,1,3,19,90,88,1,1,3,19,90,78,1,1,4,19,90,66,1,1,1,60.00%,93.33%,33.33%,66.67%,"(indifferent,-0.3929)",100.00%,100.00%,"(satisfying,-0.3913)",60.00%,93.33%,"(satisfying,-0.2769)",2.242,indifferent,0.242,"(indifferent,0.2424)",
,20,600,434,1,1,2,20,600,533,1,0,0,20,600,714,0,1,3,20,600,621,0,0,0,20,600,797,0,0,1,20,600,691,0,1,2,20,600,565,1,0,0,20,600,836,0,1,3,20,600,650,0,1,2,20,600,482,1,1,3,20,600,641,0,1,3,20,600,473,1,1,3,20,600,513,1,1,2,20,600,633,0,1,0,20,600,551,1,1,2,46.67%,73.33%,33.33%,66.67%,"(indifferent,-0.3929)",80.00%,60.00%,"(indifferent,-0.4348)",46.67%,73.33%,"(indifferent,-0.1231)",1.675,indifferent,-0.325,"(indifferent,-0.3245)",
,21,180,147,1,1,3,21,180,178,1,1,3,21,180,239,0,1,4,21,180,249,0,1,1,21,180,223,0,1,3,21,180,186,0,1,3,21,180,192,0,1,3,21,180,201,0,1,4,21,180,228,0,0,2,21,180,210,0,1,2,21,180,191,0,1,4,21,180,126,1,1,3,21,180,241,0,0,1,21,180,143,1,1,4,21,180,162,1,1,0,33.33%,86.67%,33.33%,100.00%,"(indifferent,0.2857)",40.00%,80.00%,"(indifferent,-0.1739)",33.33%,86.67%,"(satisfying,0.4308)",2.491,indifferent,0.491,"(indifferent,0.4913)",
,22,60,43,1,0,1,22,60,44,1,0,0,22,60,71,0,1,0,22,60,85,0,0,0,22,60,53,1,0,0,22,60,76,0,0,0,22,60,86,0,0,0,22,60,81,0,0,1,22,60,52,1,1,2,22,60,44,1,0,0,22,60,87,0,0,1,22,60,52,1,1,3,22,60,49,1,1,3,22,60,82,0,0,0,22,60,81,0,0,1,46.67%,26.67%,33.33%,33.33%,"(a little satisfying,-0.0357)",80.00%,20.00%,"(a little satisfying,-0.2174)",46.67%,26.67%,"(a little satisfying,-0.2923)",0.833,a little satisfying,-0.167,"(a little satisfying,-0.1672)",
,23,60,59,1,1,3,23,60,52,1,1,3,23,60,62,0,1,1,23,60,69,0,1,2,23,60,45,1,1,3,23,60,71,0,1,1,23,60,48,1,1,3,23,60,67,0,1,3,23,60,49,1,1,3,23,60,58,1,1,2,23,60,80,0,1,3,23,60,43,1,1,3,23,60,42,1,1,3,23,60,57,1,1,4,23,60,76,0,0,0,60.00%,93.33%,33.33%,100.00%,"(indifferent,0)",80.00%,80.00%,"(indifferent,0.2174)",60.00%,93.33%,"(satisfying,-0.1692)",2.314,indifferent,0.314,"(indifferent,0.3144)",
,24,120,101,1,1,4,24,120,101,1,1,3,24,120,84,1,1,4,24,120,138,0,1,0,24,120,92,1,1,4,24,120,171,0,1,2,24,120,168,0,1,2,24,120,110,1,1,4,24,120,102,1,1,3,24,120,166,0,1,1,24,120,106,1,1,4,24,120,93,1,1,3,24,120,131,0,0,1,24,120,91,1,1,4,24,120,136,0,0,0,60.00%,86.67%,33.33%,100.00%,"(indifferent,-0.3929)",40.00%,60.00%,"(indifferent,-0.1739)",60.00%,86.67%,"(very satisfying,-0.4154)",2.266,indifferent,0.266,"(indifferent,0.2661)",
,25,30,21,1,1,3,25,30,25,1,1,3,25,30,23,1,1,4,25,30,32,0,0,0,25,30,29,1,1,3,25,30,41,0,1,4,25,30,24,1,1,3,25,30,40,0,1,3,25,30,26,1,1,3,25,30,27,1,1,3,25,30,34,0,1,3,25,30,24,1,1,3,25,30,26,1,1,3,25,30,26,1,1,4,25,30,32,0,0,0,66.67%,86.67%,33.33%,66.67%,"(indifferent,0.25)",80.00%,80.00%,"(indifferent,0.413)",66.67%,86.67%,"(satisfying,0.2923)",2.612,satisfying,-0.388,"(satisfying,-0.3884)",
,26,30,25,1,1,4,26,30,21,1,1,3,26,30,23,1,1,4,26,30,33,0,1,0,26,30,28,1,1,4,26,30,36,0,1,4,26,30,37,0,1,3,26,30,36,0,1,3,26,30,32,0,1,3,26,30,25,1,1,3,26,30,25,1,1,3,26,30,28,1,1,3,26,30,39,0,1,3,26,30,29,1,1,3,26,30,21,1,1,3,60.00%,100.00%,33.33%,100.00%,"(indifferent,0.25)",80.00%,100.00%,"(satisfying,0.1957)",60.00%,100.00%,"(satisfying,0.3077)",2.851,satisfying,-0.149,"(satisfying,-0.149)",
,27,45,38,1,1,2,27,45,49,0,0,0,27,45,42,1,1,4,27,45,51,0,1,1,27,45,63,0,0,0,27,45,55,0,1,2,27,45,32,1,1,2,27,45,52,0,1,3,27,45,60,0,1,2,27,45,40,1,1,2,27,45,50,0,1,2,27,45,39,1,1,3,27,45,63,0,1,3,27,45,38,1,1,3,27,45,39,1,1,2,46.67%,86.67%,33.33%,100.00%,"(indifferent,-0.0357)",40.00%,60.00%,"(a little satisfying,0.3696)",46.67%,86.67%,"(satisfying,-0.4154)",1.972,indifferent,-0.028,"(indifferent,-0.028)",
,28,60,86,0,1,2,28,60,53,1,1,3,28,60,73,0,1,2,28,60,62,0,1,0,28,60,81,0,1,4,28,60,86,0,1,1,28,60,67,0,1,3,28,60,65,0,1,4,28,60,61,0,1,3,28,60,53,1,1,3,28,60,77,0,1,4,28,60,73,0,1,3,28,60,69,0,1,3,28,60,87,0,1,2,28,60,65,0,1,2,13.33%,100.00%,0.00%,100.00%,"(a little satisfying,0.2857)",40.00%,100.00%,"(satisfying,0)",13.33%,100.00%,"(satisfying,-0.1692)",2.264,indifferent,0.264,"(indifferent,0.2635)",
,,,,,,2.714285714,,,,,,1.857142857,,,,,,2.75,,,,0.035714286,0.428571429,0.392857143,,,,,,2.535714286,,,,,,2.357142857,,,,,,2.321428571,,,,,,3.321428571,,,,,,2.892857143,,,,,,2.428571429,,,,,,3.142857143,,,,,,2.892857143,,,,,,2.464285714,,,,,,3.25,,,,,,1.714285714,,,,,"(indifferent,-0.1722)",,,"(indifferent,0.1925)",46.63%,85.24%,"(satisfying,-0.0923)",2.261,indifferent,0.261,"(indifferent,0.2612)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_i,,,,,Visual,,,Hearing,% Efficiency,% Success,Touch,,,,General Score,Ranking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,"(indifferent,0.1709)",,,"(satisfying,-0.3424)",60.17%,80.24%,"(satisfying,-0.483)",2.421,,,"(indifferent,0.4208)",2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,"(indifferent,0.4617)",,,"(indifferent,0.2407)",72.38%,85.24%,"(satisfying,-0.2868)",2.471,,,"(indifferent,0.4709)",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3,,,,,"(indifferent,-0.1722)",,,"(indifferent,0.1925)",46.63%,85.24%,"(satisfying,-0.0923)",2.275,indifferent,0.275,"(indifferent,0.2612)",3
