$A_1= \{CULagos\},TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,General UT Score,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
,23,60,66,0,1,4,23,60,74,0,1,1,23,60,69,0,1,3,23,60,54,1,1,2,23,60,65,0,1,3,23,60,86,0,1,2,23,60,46,1,1,3,23,60,75,0,1,3,23,60,58,1,1,4,23,60,59,1,1,3,23,60,48,1,1,1,23,60,48,1,1,3,23,60,45,1,1,3,23,60,42,1,1,4,23,60,55,1,1,3,60.00%,100.00%,66.67%,100.00%,"(indifferent,0.3214)",60.00%,100.00%,"(satisfying,-0.4348)",60.00%,100.00%,"(satisfying,0.1538)",2.644,satisfying,-0.356,"(satisfying,-0.3557)",
,24,120,170,0,1,3,24,120,102,1,1,2,24,120,137,0,0,0,24,120,110,1,1,3,24,120,95,1,1,3,24,120,173,0,1,2,24,120,87,1,1,3,24,120,97,1,1,3,24,120,101,1,1,2,24,120,86,1,1,3,24,120,87,1,1,2,24,120,120,1,1,3,24,120,92,1,1,4,24,120,127,0,1,4,24,120,126,0,1,3,66.67%,93.33%,66.67%,100.00%,"(satisfying,-0.3214)",80.00%,100.00%,"(satisfying,-0.0217)",66.67%,93.33%,"(indifferent,0.4)",2.685,satisfying,-0.315,"(satisfying,-0.3151)",
,25,30,43,0,0,0,25,30,27,1,1,2,25,30,40,0,0,0,25,30,40,0,0,0,25,30,26,1,1,4,25,30,41,0,0,0,25,30,36,0,1,1,25,30,37,0,1,3,25,30,21,1,1,4,25,30,22,1,1,3,25,30,36,0,0,0,25,30,24,1,1,3,25,30,21,1,1,3,25,30,28,1,1,1,25,30,43,0,0,1,46.67%,60.00%,33.33%,33.33%,"(a little satisfying,-0.0357)",80.00%,80.00%,"(satisfying,-0.413)",46.67%,60.00%,"(a little satisfying,0.2462)",1.536,indifferent,-0.464,"(indifferent,-0.4644)",
,26,30,27,1,1,4,26,30,23,1,1,2,26,30,32,0,1,3,26,30,23,1,1,3,26,30,24,1,1,4,26,30,32,0,1,2,26,30,33,0,1,1,26,30,34,0,1,3,26,30,25,1,1,4,26,30,30,1,1,3,26,30,26,1,1,2,26,30,22,1,1,3,26,30,28,1,1,3,26,30,22,1,1,3,26,30,28,1,1,3,73.33%,100.00%,66.67%,100.00%,"(satisfying,-0.3214)",100.00%,100.00%,"(satisfying,-0.0217)",73.33%,100.00%,"(satisfying,-0.1231)",2.828,satisfying,-0.172,"(satisfying,-0.172)",
,27,45,49,0,1,2,27,45,43,1,1,3,27,45,52,0,0,0,27,45,57,0,0,0,27,45,32,1,1,4,27,45,50,0,0,2,27,45,37,1,1,4,27,45,32,1,1,3,27,45,37,1,1,4,27,45,51,0,0,1,27,45,58,0,0,0,27,45,42,1,1,3,27,45,44,1,1,3,27,45,50,0,0,0,27,45,65,0,0,0,46.67%,53.33%,33.33%,33.33%,"(indifferent,-0.3929)",60.00%,60.00%,"(indifferent,0.2174)",46.67%,53.33%,"(indifferent,-0.1692)",1.857,indifferent,-0.143,"(indifferent,-0.1427)",
,28,60,78,0,1,3,28,60,74,0,0,0,28,60,81,0,1,3,28,60,52,1,1,2,28,60,46,1,1,4,28,60,73,0,1,2,28,60,43,1,1,4,28,60,65,0,1,3,28,60,46,1,1,4,28,60,49,1,1,4,28,60,49,1,1,2,28,60,52,1,1,3,28,60,63,0,1,3,28,60,78,0,1,4,28,60,77,0,1,4,46.67%,93.33%,66.67%,100.00%,"(indifferent,0.3214)",40.00%,80.00%,"(satisfying,-0.0652)",46.67%,93.33%,"(satisfying,0.2769)",2.792,satisfying,-0.208,"(satisfying,-0.2079)",
,,600,,,,2.25,,,,,,1.714285714,,,,,,2.25,,,,,,1.964285714,,,,,,3.142857143,,,,,,2.071428571,,,,,,2.535714286,,,,,,2.75,,,,,,3.214285714,,,,,,2.892857143,,,,,,1.464285714,,,,,,2.5,,,,,,2.75,,,,,,3.214285714,,,,,,2.892857143,,,,,"(indifferent,0.1709)",,,"(satisfying,-0.3424)",60.17%,80.24%,"(satisfying,-0.483)",2.421,indifferent,0.421,"(indifferent,0.4208)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
